element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""4945.6370""","=""0.0007""","=""4945.6356""","=""0.0003""","=""417""","=""1.3e+06""",E,"=""33946.933""","=""54161.139""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4946.3878""","=""0.0007""","=""4946.3871""","=""0.0003""","=""6000""","=""""",,"=""27166.820""","=""47377.955""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""4946.8993""","=""0.0015""","=""4946.8997""","=""0.0003""","=""80""","=""2.2e+06""",D+,"=""83459.721""","=""103668.762""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""4947.385""","=""""","=""4947.3851""","=""0.0003""","="":""","=""7.12e-02""",B,"=""2430.1369""","=""22637.1950""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""",E2,"=""T9588,T10588c103""","=""L22747,L22760""",
Fe,2,"=""4948.0872""","=""0.0003""","=""4948.08717""","=""0.00022""","=""600""","=""2.06e+07""",C+,"=""83136.508""","=""103340.699""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""4948.7913""","=""0.0002""","=""4948.79114""","=""0.00022""","=""1200""","=""4.2e+07""",B+,"=""83459.721""","=""103661.038""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4949.582""","=""0.004""","=""4949.5810""","=""0.0005""","=""12""","=""""",,"=""31048.7488""","=""51246.842""","=""3d5.(2D3).4s""","=""b 3D""","=""1""","=""3d5.(4D).4p""","=""w 3P*""","=""1""",,"=""""","=""L9190""",
Fe,1,"=""4950.1057""","=""0.0007""","=""4950.1053""","=""0.0003""","=""1550""","=""""",,"=""27559.583""","=""47755.537""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d7.(4F).5s""","=""e 5F""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""4950.755""","=""""","=""4950.7554""","=""0.0003""","="":""","=""1.77e-01""",C+,"=""2837.9807""","=""23031.2829""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""",E2,"=""T9588,T10588c104""","=""L22747,L22760""",
Fe,2,"=""4951.5805""","=""0.0002""","=""4951.58055""","=""0.00020""","=""2100""","=""4.4e+07""",B+,"=""83136.508""","=""103326.445""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""4952.6524""","=""0.0004""","=""4952.66039""","=""0.00022""","=""400""","=""1.63e+07""",C+,"=""83459.721""","=""103645.256""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c145""",
Cr,1,"=""4953.717""","=""0.002""","=""4953.7169""","=""0.0004""","=""4""","=""8.5e+05""",D,"=""25177.3539""","=""45358.5837""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4G).4p""","=""z 3H*""","=""4""",,"=""T4288""","=""L14866""",
Cr,1,"=""4954.8055""","=""0.0007""","=""4954.8055""","=""0.0004""","=""78""","=""1.2e+07""",D,"=""25177.3539""","=""45354.1500""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4G).4p""","=""z 3H*""","=""5""",,"=""T1621n""","=""L14866""",
Fe,2,"=""4955.086""","=""0.007""","=""4955.0872""","=""0.0003""","=""25""","=""3.2e+05""",D,"=""83812.352""","=""103988.001""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""""","=""""","=""4956.3583""","=""0.0003""","=""""","=""7.9e-02""",E,"=""704.007""","=""20874.482""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.4s2""","=""b 3F2""","=""3""",M1,"=""T6409""","=""""",
Cr,1,"=""4956.72""","=""0.03""","=""4956.7186""","=""0.0012""","=""6""","=""""",,"=""27816.7783""","=""47985.787""","=""3d4.4s2""","=""b 3G""","=""5""","=""3d5.(4G).4p""","=""u 5F*""","=""5""",,"=""""","=""L808""",
Fe,1,"=""4957.2983""","=""0.0007""","=""4957.2979""","=""0.0003""","=""66000""","=""1.18e+07""",B,"=""22996.674""","=""43163.326""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""4957.5965""","=""0.0007""","=""4957.5961""","=""0.0003""","=""295000""","=""4.22e+07""",B+,"=""22650.416""","=""42815.855""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""6""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""5""",,"=""T5720""","=""L11631""",
Fe,1,"=""4957.6793""","=""0.0007""","=""4957.6819""","=""0.0003""","=""2140""","=""""",,"=""33801.572""","=""53966.662""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""h 5D""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""""","=""""","=""4958.2276""","=""0.0003""","=""""","=""6.4e-03""",D+,"=""667.6829""","=""20830.5534""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""",M1,"=""T9588c100""","=""""",
Fe,2,"=""4958.8211""","=""0.0004""","=""4958.8212""","=""0.0003""","=""400""","=""4.7e+06""",D+,"=""83713.583""","=""103874.040""","=""3d6.(5D).4d""","=""6D""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4959.197""","=""0.005""","=""4959.1978""","=""0.0017""","=""30""","=""""",,"=""38995.736""","=""59154.662""","=""3d7.(4F).4p""","=""y 3D*""","=""1""","=""3d6.4s.(4D).4d""","=""3S""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""4959.5574""","=""0.0017""","=""4959.55798""","=""0.00020""","=""70""","=""2.1e+06""",D+,"=""83812.352""","=""103969.814""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""""","=""""","=""4961.1841""","=""0.0003""","=""""","=""4.5e-02""",E,"=""888.132""","=""21038.987""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.4s2""","=""b 3F2""","=""2""",M1,"=""T6409""","=""""",
Fe,1,"=""4961.9137""","=""0.0020""","=""4961.9132""","=""0.0003""","=""234""","=""1.4e+05""",E,"=""29313.008""","=""49460.902""","=""3d6.4s2""","=""a 1I""","=""6""","=""3d7.(2G).4p""","=""v 3G*""","=""5""",,"=""T2578n""","=""L11631""",
Cr,1,"=""4962.28""","=""0.06""","=""4962.233""","=""0.020""","=""4w""","=""""",,"=""42515.3342""","=""62661.93""","=""3d5.(4G).4p""","=""z 5G*""","=""2""","=""3d5.(4G).4d""","=""f 5G""","=""3""",,"=""""","=""L808""",
Fe,1,"=""4962.5715""","=""0.0007""","=""4962.5711""","=""0.0003""","=""680""","=""1.37e+06""",C+,"=""33695.397""","=""53840.620""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""e 3H""","=""6""",,"=""T5720""","=""L11631""",
Cr,1,"=""4964.9271""","=""0.0005""","=""4964.9274""","=""0.0003""","=""130""","=""1.61e+05""",B,"=""7593.1484""","=""27728.8110""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""2""",,"=""T4624""","=""L14866""",
Fe,1,"=""4965.780""","=""0.004""","=""4965.7796""","=""0.0006""","=""60""","=""""",,"=""22946.816""","=""43079.023""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""""","=""""","=""4965.7897""","=""0.0004""","=""""","=""3.3e-02""",E,"=""384.7872""","=""20516.9534""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d7""","=""a 2D2""","=""5/2""",M1,"=""T8961""","=""""",
Cr,1,"=""4965.82""","=""0.06""","=""4965.757""","=""0.022""","=""3w""","=""""",,"=""42538.7424""","=""62671.04""","=""3d5.(4G).4p""","=""z 5G*""","=""3""","=""3d5.(4G).4d""","=""f 5G""","=""4""",,"=""""","=""L808""",
Cr,1,"=""4966.05""","=""0.06""","=""4966.009""","=""0.020""","=""4w""","=""""",,"=""42515.3342""","=""62646.61""","=""3d5.(4G).4p""","=""z 5G*""","=""2""","=""3d5.(4G).4d""","=""f 5G""","=""2""",,"=""""","=""L808""",
Fe,1,"=""4966.0886""","=""0.0007""","=""4966.0882""","=""0.0003""","=""13200""","=""3.31e+06""",C+,"=""26874.550""","=""47005.506""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""3d7.(4F).5s""","=""e 5F""","=""5""",,"=""T5720""","=""L11631""",
Fe,1,"=""4966.289""","=""0.005""","=""4966.2885""","=""0.0003""","=""40""","=""""",,"=""31937.325""","=""52067.469""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,"=""""","=""L11631""",
Cr,1,"=""4966.80""","=""0.03""","=""4966.7950""","=""0.0010""","=""25""","=""3.0e+07""",D,"=""31048.7488""","=""51176.840""","=""3d5.(2D3).4s""","=""b 3D""","=""1""","=""3d5.(4D).4p""","=""w 3P*""","=""0""",,"=""T4288""","=""L808""",
Fe,1,"=""4967.8970""","=""0.0007""","=""4967.8966""","=""0.0003""","=""2290""","=""""",,"=""33801.572""","=""53925.200""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,"=""""","=""L11631""",
Cr,1,"=""4967.97""","=""0.03""","=""4968.005""","=""0.020""","=""5""","=""""",,"=""42538.7424""","=""62661.93""","=""3d5.(4G).4p""","=""z 5G*""","=""3""","=""3d5.(4G).4d""","=""f 5G""","=""3""",,"=""""","=""L808""",
Fe,1,"=""4968.3923""","=""0.0020""","=""4968.3917""","=""0.0003""","=""126""","=""""",,"=""34039.516""","=""54161.139""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4968.6975""","=""0.0007""","=""4968.6979""","=""0.0003""","=""1510""","=""7.1e+05""",E,"=""29356.744""","=""49477.127""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""1F*""","=""3""",,"=""T2578n""","=""L11631""",
Cr,1,"=""4969.13""","=""0.06""","=""4969.0954""","=""0.0004""","=""7w""","=""""",,"=""25106.2953""","=""45225.0686""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""2""",,"=""""","=""L808""",
Fe,2,"=""4969.3564""","=""0.0006""","=""4969.3563""","=""0.0003""","=""200""","=""2.0e+07""",D+,"=""83558.569""","=""103676.286""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4969.9173""","=""0.0007""","=""4969.9169""","=""0.0003""","=""1820""","=""""",,"=""34017.103""","=""54132.551""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""4970.4955""","=""0.0007""","=""4970.4958""","=""0.0006""","=""1100""","=""9.82e+05""",C,"=""29320.026""","=""49433.131""","=""3d6.4s2""","=""b 3D""","=""1""","=""3d7.(2G).4p""","=""w 3F*""","=""2""",,"=""T5720""","=""L11631""",
Fe,1,"=""4970.6457""","=""0.0020""","=""4970.6458""","=""0.0003""","=""257""","=""""",,"=""31937.325""","=""52049.823""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,"=""""","=""L11631""",
Cr,1,"=""4970.97""","=""0.06""","=""4970.99""","=""0.03""","=""3w""","=""""",,"=""27597.2409""","=""47708.35""","=""3d4.4s2""","=""b 3G""","=""3""","=""3d5.(6S).6p""","=""w 7P*""","=""3""",,"=""""","=""L808""",
Fe,2,"=""4971.2176""","=""0.0007""","=""4971.2156""","=""0.0004""","=""170""","=""2.11e+07""",C+,"=""83558.569""","=""103668.762""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""4971.3403""","=""0.0010""","=""4971.3389""","=""0.0003""","=""130""","=""5.1e+06""",D+,"=""83308.241""","=""103417.935""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4972.22""","=""0.06""","=""4972.188""","=""0.022""","=""6w""","=""""",,"=""42564.7783""","=""62671.04""","=""3d5.(4G).4p""","=""z 5G*""","=""4""","=""3d5.(4G).4d""","=""f 5G""","=""4""",,"=""""","=""L808""",
Fe,1,"=""4973.1016""","=""0.0007""","=""4973.1014""","=""0.0003""","=""3240""","=""1.1e+07""",D+,"=""31937.325""","=""52039.892""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,"=""T2491n""","=""L11631""",
Cr,1,"=""4973.30""","=""0.10""","=""4973.2541""","=""0.0017""","=""4w*""","=""""",,"=""37233.423""","=""57335.373""","=""3d5.(2G2).4s""","=""c 3G""","=""5""","=""3d4.(3D).4s.4p.(3P*)""","=""t 3F*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""4973.30""","=""0.10""","=""4973.29""","=""0.03""","=""4w*""","=""""",,"=""35813.685""","=""55915.49""","=""3d5.(4F).4s""","=""c 3F""","=""3""","=""3d4.(1I).4s.4p.(3P*)""","=""u 3H*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""4973.30""","=""0.10""","=""4973.309""","=""0.015""","=""4w*""","=""""",,"=""42589.1721""","=""62690.90""","=""3d5.(4G).4p""","=""z 5G*""","=""5""","=""3d5.(4G).4d""","=""f 5G""","=""5""",,"=""""","=""L808""",
Fe,2,"=""4973.398""","=""""","=""4973.3975""","=""0.0003""","="":""","=""1.42e-01""",C+,"=""2837.9807""","=""22939.3512""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""",E2,"=""T9588,T10588c104""","=""L22747,L22760""",
Fe,2,"=""4974.2113""","=""0.0009""","=""4974.21025""","=""0.00020""","=""130""","=""1.5e+06""",D+,"=""83308.241""","=""103406.327""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4975.4118""","=""0.0020""","=""4975.4117""","=""0.0003""","=""151""","=""""",,"=""26627.609""","=""46720.842""","=""3d7.(2H).4s""","=""b 3H""","=""4""","=""3d7.(4P).4p""","=""u 5D*""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""4977.0332""","=""0.0002""","=""4977.0331""","=""0.0003""","=""1400""","=""6.1e+07""",B+,"=""83558.569""","=""103645.256""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4977.54""","=""0.06""","=""4977.526""","=""0.004""","=""10w""","=""""",,"=""42589.1721""","=""62673.869""","=""3d5.(4G).4p""","=""z 5G*""","=""5""","=""3d5.(4G).4d""","=""f 5G""","=""6""",,"=""""","=""L808""",
Fe,1,"=""4977.6483""","=""0.0020""","=""4977.6479""","=""0.0003""","=""186""","=""""",,"=""31686.351""","=""51770.557""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""4977.9194""","=""0.0005""","=""4977.9193""","=""0.0003""","=""250""","=""1.69e+07""",C+,"=""83308.241""","=""103391.352""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4978.112""","=""0.004""","=""4978.1094""","=""0.0003""","=""100""","=""""",,"=""31937.325""","=""52019.669""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""4978.6030""","=""0.0007""","=""4978.6028""","=""0.0003""","=""2090""","=""1.19e+07""",B,"=""32133.991""","=""52214.345""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,"=""T6110""","=""L11631""",
Fe,1,"=""4978.691""","=""0.004""","=""4978.6913""","=""0.0003""","=""83""","=""""",,"=""32873.632""","=""52953.629""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""3F*""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""4979.308""","=""0.007""","=""4979.29960""","=""0.00020""","=""18""","=""9.e+05""",D+,"=""83308.241""","=""103385.785""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4979.5857""","=""0.0020""","=""4979.5866""","=""0.0006""","=""182""","=""""",,"=""29356.744""","=""49433.131""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(2G).4p""","=""w 3F*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4980.2831""","=""0.0020""","=""4980.2824""","=""0.0003""","=""110""","=""""",,"=""33695.397""","=""53768.979""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""f 5G""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4980.539""","=""0.004""","=""4980.5397""","=""0.0003""","=""40""","=""""",,"=""33765.306""","=""53837.851""","=""3d8""","=""c 3F""","=""2""","=""3d7.(4F).5p""","=""3D*""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""4981.0743""","=""0.0014""","=""4981.07497""","=""0.00020""","=""80""","=""6.1e+05""",D+,"=""83812.352""","=""103882.740""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Ti,2,"=""4981.355""","=""0.002""","=""4981.3558""","=""0.0003""","=""""","=""3.1e+04""",D,"=""12628.8455""","=""32698.1022""","=""3d3""","=""b 2D2""","=""3/2""","=""3d2.(3F).4p""","=""z 4D*""","=""5/2""",,"=""T4502""","=""L9190""",
Cr,1,"=""4981.607""","=""0.04""","=""4981.628""","=""0.004""","=""15w""","=""""",,"=""42605.7080""","=""62673.869""","=""3d5.(4G).4p""","=""z 5G*""","=""6""","=""3d5.(4G).4d""","=""f 5G""","=""6""",,"=""""","=""L808""",
Fe,1,"=""4982.4996""","=""0.0007""","=""4982.4990""","=""0.0004""","=""12300""","=""""",,"=""33095.941""","=""53160.593""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""f 5P""","=""3""",,"=""""","=""L11631""",
Ti,2,"=""4982.79""","=""""","=""4982.7917""","=""0.0003""","="":""","=""4.20e-01""",C+,"=""4897.7179""","=""24961.1910""","=""3d2.(3F).4s""","=""a 2F""","=""7/2""","=""3d.4s2""","=""c 2D""","=""3/2""",E2,"=""T3093""","=""L18001,L18000""",
Ti,2,"=""4983.1554""","=""0.0007""","=""4983.1583""","=""0.0010""","=""36""","=""""",,"=""56249.2448""","=""76311.242""","=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""3/2""","=""3d2.(3P).4d""","=""4F""","=""5/2""",,"=""""","=""u37""",
Fe,1,"=""4983.2504""","=""0.0007""","=""4983.2500""","=""0.0004""","=""6500""","=""""",,"=""33507.123""","=""53568.751""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4983.341""","=""0.004""","=""4983.3412""","=""0.0006""","=""71""","=""""",,"=""37157.566""","=""57218.827""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d7.(4F).6s""","=""3F""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4983.45""","=""0.03""","=""4983.4838""","=""0.0010""","=""1""","=""""",,"=""35884.255""","=""55944.942""","=""3d5.(2H).4s""","=""b 3H""","=""5""","=""3d5.(2I).4p""","=""y 1H*""","=""5""",,"=""""","=""L808""",
Fe,1,"=""4983.8526""","=""0.0007""","=""4983.8522""","=""0.0004""","=""8900""","=""""",,"=""33095.941""","=""53155.145""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""4984.4852""","=""0.0002""","=""4984.48536""","=""0.00020""","=""1400""","=""5.4e+07""",B+,"=""83308.241""","=""103364.897""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""4984.5703""","=""0.0009""","=""4984.5706""","=""0.0003""","=""110""","=""1.7e+06""",D+,"=""83990.106""","=""104046.419""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4985.2526""","=""0.0007""","=""4985.2527""","=""0.0004""","=""7200""","=""1.48e+07""",B,"=""31686.351""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,"=""T5720""","=""L11631""",
Fe,1,"=""4985.5469""","=""0.0007""","=""4985.5465""","=""0.0004""","=""6900""","=""1.39e+06""",B,"=""23110.939""","=""43163.326""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""4""",,"=""T5720""","=""L11631""",
Cr,1,"=""4985.956""","=""0.002""","=""4985.9576""","=""0.0004""","=""4""","=""""",,"=""31008.9708""","=""51059.7045""","=""3d5.(2D3).4s""","=""b 3D""","=""3""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""4""",,"=""""","=""L14866""",
Fe,1,"=""4985.9838""","=""0.0020""","=""4985.9829""","=""0.0004""","=""117""","=""""",,"=""34328.752""","=""54379.384""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""e 3G""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4986.2223""","=""0.0007""","=""4986.2221""","=""0.0004""","=""500""","=""2.3e+06""",E,"=""34017.103""","=""54066.773""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4986.903""","=""0.004""","=""4986.9049""","=""0.0004""","=""52""","=""""",,"=""34328.752""","=""54375.677""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""4987.2724""","=""0.0010""","=""4987.2714""","=""0.0003""","=""120""","=""4.3e+06""",D+,"=""83812.352""","=""103857.804""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4988.9498""","=""0.0007""","=""4988.9494""","=""0.0004""","=""2880""","=""5.2e+06""",D+,"=""33507.123""","=""53545.833""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,"=""T2491n""","=""L11631""",
Fe,2,"=""4990.5062""","=""0.0002""","=""4990.5064""","=""0.0003""","=""2000""","=""5.2e+07""",B+,"=""83308.241""","=""103340.699""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4991.2680""","=""0.0007""","=""4991.2676""","=""0.0004""","=""2750""","=""""",,"=""33801.572""","=""53830.975""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""4991.4379""","=""0.0005""","=""4991.43779""","=""0.00020""","=""310""","=""6.9e+06""",C+,"=""82853.704""","=""102882.424""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4991.800""","=""0.005""","=""4991.7984""","=""0.0006""","=""30""","=""""",,"=""23051.750""","=""43079.023""","=""3d7.(4P).4s""","=""b 3P""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""4991.867""","=""0.004""","=""4991.8660""","=""0.0004""","=""35""","=""3.9e+05""",E,"=""34039.516""","=""54066.518""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4992.785""","=""0.004""","=""4992.7857""","=""0.0004""","=""20""","=""""",,"=""34362.873""","=""54386.186""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""4993.355""","=""0.015""","=""4993.35017""","=""0.00015""","=""40""","=""7.e+03""",E,"=""22637.1950""","=""42658.2444""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 6P*""","=""7/2""",,"=""T6892c83""","=""L7357""",
Fe,1,"=""4993.6802""","=""0.0020""","=""4993.6795""","=""0.0004""","=""302""","=""1.9e+06""",E,"=""33946.933""","=""53966.662""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""3d7.(4F).4d""","=""h 5D""","=""2""",,"=""T2578n""","=""L11631""",
